data,hora,temperatura_celsius,velocidade_vento_ms,direcao_vento_graus
2024-06-01,00:00:00,13.95,1.0,259.3
2024-06-01,03:00:00,16.23,3.68,192.3
2024-06-01,06:00:00,18.75,1.47,225.4
2024-06-01,09:00:00,24.2,2.64,220.7
2024-06-01,12:00:00,18.26,1.99,199.6
2024-06-01,15:00:00,17.65,2.85,201.4
2024-06-01,18:00:00,17.14,4.88,220.7
2024-06-01,21:00:00,16.57,3.8,185.6
2024-06-02,00:00:00,14.5,3.63,199.1
2024-06-02,03:00:00,14.82,4.32,237.6
2024-06-02,06:00:00,15.13,4.04,177.3
2024-06-02,09:00:00,17.78,2.88,206.6
2024-06-02,12:00:00,20.85,4.13,200.7
2024-06-02,15:00:00,21.03,4.15,189.1
2024-06-02,18:00:00,18.58,4.2,231.8
2024-06-02,21:00:00,18.5,5.46,187.7
2024-06-03,00:00:00,17.42,3.06,176.4
2024-06-03,03:00:00,16.31,2.99,184.9
2024-06-03,06:00:00,15.53,3.32,175.2
2024-06-03,09:00:00,15.74,3.14,188.5
2024-06-03,12:00:00,17.3,2.42,191.0
2024-06-03,15:00:00,19.09,4.74,217.3
2024-06-03,18:00:00,17.03,2.13,195.8
2024-06-03,21:00:00,13.23,3.87,184.4
2024-06-04,00:00:00,16.63,1.76,213.5
2024-06-04,03:00:00,16.67,2.93,242.3
2024-06-04,06:00:00,17.02,3.16,198.0
2024-06-04,09:00:00,17.56,4.13,184.8
2024-06-04,12:00:00,21.44,4.14,174.3
2024-06-04,15:00:00,19.77,2.94,197.2
2024-06-04,18:00:00,17.41,3.85,228.8
2024-06-04,21:00:00,15.54,3.33,214.8
2024-06-05,00:00:00,14.84,3.43,220.3
2024-06-05,03:00:00,18.22,1.65,193.2
2024-06-05,06:00:00,18.52,2.63,203.7
2024-06-05,09:00:00,15.66,4.19,172.6
2024-06-05,12:00:00,20.04,3.19,211.8
2024-06-05,15:00:00,21.71,1.95,188.4
2024-06-05,18:00:00,16.95,3.7,192.9
2024-06-05,21:00:00,16.94,3.06,184.1
2024-06-06,00:00:00,15.15,2.02,173.5
2024-06-06,03:00:00,17.5,4.33,185.6
2024-06-06,06:00:00,21.22,4.33,187.0
2024-06-06,09:00:00,23.36,2.29,203.8
2024-06-06,12:00:00,20.54,3.01,213.3
2024-06-06,15:00:00,18.06,3.98,138.3
2024-06-06,18:00:00,18.45,2.57,230.0
2024-06-06,21:00:00,15.24,3.16,222.8
2024-06-07,00:00:00,17.43,4.36,169.8
2024-06-07,03:00:00,16.61,4.49,182.0
2024-06-07,06:00:00,20.16,3.78,228.8
2024-06-07,09:00:00,20.67,2.24,192.8
2024-06-07,12:00:00,19.54,3.06,189.3
2024-06-07,15:00:00,20.32,3.63,212.3
2024-06-07,18:00:00,18.21,5.82,234.3
2024-06-07,21:00:00,15.35,3.53,195.8
2024-06-08,00:00:00,13.3,5.12,206.9
2024-06-08,03:00:00,15.37,6.69,196.3
2024-06-08,06:00:00,19.22,4.15,219.6
2024-06-08,09:00:00,18.31,4.31,228.4
2024-06-08,12:00:00,17.56,2.05,205.2
2024-06-08,15:00:00,21.6,4.47,255.4
2024-06-08,18:00:00,21.63,1.89,210.3
2024-06-08,21:00:00,16.68,4.04,174.2
2024-06-09,00:00:00,16.68,2.1,212.1
2024-06-09,03:00:00,15.94,3.36,180.2
2024-06-09,06:00:00,15.24,4.47,210.8
2024-06-09,09:00:00,19.57,3.27,200.3
2024-06-09,12:00:00,18.89,4.48,208.5
2024-06-09,15:00:00,19.75,3.65,162.1
2024-06-09,18:00:00,15.31,3.58,224.2
2024-06-09,21:00:00,14.58,4.13,226.6
2024-06-10,00:00:00,12.47,3.6,183.0
2024-06-10,03:00:00,17.67,5.23,209.4
2024-06-10,06:00:00,19.99,2.24,237.2
2024-06-10,09:00:00,14.58,2.24,201.2
2024-06-10,12:00:00,19.93,2.65,188.5
2024-06-10,15:00:00,21.8,6.74,214.9
2024-06-10,18:00:00,19.68,2.9,183.4
2024-06-10,21:00:00,14.46,2.98,202.8
2024-06-11,00:00:00,14.24,4.13,169.8
2024-06-11,03:00:00,17.4,3.81,192.0
2024-06-11,06:00:00,19.35,4.75,229.6
2024-06-11,09:00:00,18.29,1.13,194.0
2024-06-11,12:00:00,20.04,3.58,166.7
2024-06-11,15:00:00,19.19,4.81,226.5
2024-06-11,18:00:00,14.65,2.01,195.4
2024-06-11,21:00:00,16.38,3.63,218.1
2024-06-12,00:00:00,13.62,5.03,190.3
2024-06-12,03:00:00,21.43,4.7,244.3
2024-06-12,06:00:00,17.71,6.22,204.5
2024-06-12,09:00:00,21.78,3.55,239.7
2024-06-12,12:00:00,17.54,2.24,187.8
2024-06-12,15:00:00,19.94,2.48,244.4
2024-06-12,18:00:00,16.26,3.49,226.7
2024-06-12,21:00:00,16.88,4.39,167.3
2024-06-13,00:00:00,15.15,3.07,180.3
2024-06-13,03:00:00,16.35,3.82,259.5
2024-06-13,06:00:00,18.64,2.62,217.1
2024-06-13,09:00:00,19.17,4.15,175.8
2024-06-13,12:00:00,14.61,4.99,210.4
2024-06-13,15:00:00,16.3,2.56,169.8
2024-06-13,18:00:00,18.83,1.82,179.9
2024-06-13,21:00:00,17.89,2.79,208.0
2024-06-14,00:00:00,18.77,4.88,173.8
2024-06-14,03:00:00,16.92,4.32,226.4
