data,hora,temperatura_celsius,velocidade_vento_ms,direcao_vento_graus
2026-09-01,00:00:00,18.47,5.03,176.7
2026-09-01,03:00:00,10.53,3.34,226.8
2026-09-01,06:00:00,19.13,3.67,162.1
2026-09-01,09:00:00,18.98,4.72,169.4
2026-09-01,12:00:00,21.35,7.05,185.3
2026-09-01,15:00:00,26.43,8.48,195.7
2026-09-01,18:00:00,16.64,5.49,164.4
2026-09-01,21:00:00,11.91,3.89,156.5
2026-09-02,00:00:00,19.05,5.24,187.2
2026-09-02,03:00:00,17.28,3.74,176.7
2026-09-02,06:00:00,12.62,4.4,163.8
2026-09-02,09:00:00,21.1,5.24,159.0
2026-09-02,12:00:00,19.44,5.9,127.6
2026-09-02,15:00:00,24.41,5.17,178.8
2026-09-02,18:00:00,18.87,3.53,174.7
2026-09-02,21:00:00,23.7,5.71,159.5
2026-09-03,00:00:00,15.84,6.02,184.3
2026-09-03,03:00:00,20.31,4.08,164.6
2026-09-03,06:00:00,14.86,6.27,170.0
2026-09-03,09:00:00,23.11,5.58,150.6
2026-09-03,12:00:00,19.32,3.67,164.5
2026-09-03,15:00:00,19.02,4.72,174.4
2026-09-03,18:00:00,21.43,7.29,175.1
2026-09-03,21:00:00,12.94,5.55,227.0
2026-09-04,00:00:00,17.55,4.96,157.0
2026-09-04,03:00:00,10.73,6.65,185.0
2026-09-04,06:00:00,15.08,3.01,167.5
2026-09-04,09:00:00,23.03,4.91,136.2
2026-09-04,12:00:00,20.91,5.96,152.9
2026-09-04,15:00:00,18.54,3.24,188.9
2026-09-04,18:00:00,18.42,4.24,199.0
2026-09-04,21:00:00,15.55,4.95,178.7
2026-09-05,00:00:00,18.15,5.59,187.9
2026-09-05,03:00:00,17.38,4.9,177.8
2026-09-05,06:00:00,12.71,3.33,119.1
2026-09-05,09:00:00,24.29,6.48,190.5
2026-09-05,12:00:00,22.13,4.75,168.9
2026-09-05,15:00:00,15.66,7.26,136.6
2026-09-05,18:00:00,22.53,5.1,173.9
2026-09-05,21:00:00,15.63,7.1,157.3
