data,hora,temperatura_celsius,temperatura_fahrenheit,temperatura_kelvin,velocidade_vento_ms,velocidade_vento_kmh,velocidade_vento_mph,direcao_vento_graus,direcao_vento_radianos
2024-11-01,00:00:00,22.3,72.14,295.45,4.6,16.56,10.29,121.4,2.11883
2024-11-01,03:00:00,21.48,70.66,294.63,3.61,13.0,8.08,116.2,2.028073
2024-11-01,06:00:00,19.84,67.71,292.99,3.69,13.28,8.25,137.1,2.392846
2024-11-01,09:00:00,25.88,78.58,299.03,2.58,9.29,5.77,113.4,1.979203
2024-11-01,12:00:00,23.98,75.16,297.13,2.82,10.15,6.31,129.5,2.260201
2024-11-01,15:00:00,24.16,75.49,297.31,3.56,12.82,7.96,132.3,2.309071
2024-11-01,18:00:00,22.76,72.97,295.91,3.28,11.81,7.34,105.3,1.837832
2024-11-01,21:00:00,20.36,68.65,293.51,3.63,13.07,8.12,128.7,2.246239
2024-11-02,00:00:00,13.93,57.07,287.08,4.42,15.91,9.89,104.6,1.825614
2024-11-02,03:00:00,27.37,81.27,300.52,0.47,1.69,1.05,106.5,1.858776
2024-11-02,06:00:00,24.36,75.85,297.51,5.3,19.08,11.86,78.5,1.370083
2024-11-02,09:00:00,22.83,73.09,295.98,1.06,3.82,2.37,127.3,2.221804
2024-11-02,12:00:00,23.04,73.47,296.19,3.74,13.46,8.37,122.5,2.138028
2024-11-02,15:00:00,23.38,74.08,296.53,4.21,15.16,9.42,100.0,1.745329
2024-11-02,18:00:00,25.54,77.97,298.69,3.15,11.34,7.05,147.8,2.579597
2024-11-02,21:00:00,19.8,67.64,292.95,2.38,8.57,5.32,130.1,2.270673
2024-11-03,00:00:00,18.5,65.3,291.65,2.69,9.68,6.02,134.4,2.345723
2024-11-03,03:00:00,24.71,76.48,297.86,3.79,13.64,8.48,145.1,2.532473
2024-11-03,06:00:00,21.88,71.38,295.03,2.95,10.62,6.6,99.8,1.741839
2024-11-03,09:00:00,26.55,79.79,299.7,3.67,13.21,8.21,156.7,2.734931
2024-11-03,12:00:00,26.38,79.48,299.53,4.21,15.16,9.42,127.0,2.216568
2024-11-03,15:00:00,27.59,81.66,300.74,3.14,11.3,7.02,49.0,0.855211
2024-11-03,18:00:00,27.0,80.6,300.15,4.39,15.8,9.82,109.5,1.911136
2024-11-03,21:00:00,22.91,73.24,296.06,4.25,15.3,9.51,85.1,1.485275
2024-11-04,00:00:00,21.69,71.04,294.84,5.13,18.47,11.48,125.9,2.19737
2024-11-04,03:00:00,23.5,74.3,296.65,2.51,9.04,5.61,79.6,1.389282
2024-11-04,06:00:00,23.05,73.49,296.2,0.41,1.48,0.92,137.2,2.394592
2024-11-04,09:00:00,26.66,79.99,299.81,4.43,15.95,9.91,50.4,0.879646
2024-11-04,12:00:00,25.61,78.1,298.76,4.64,16.7,10.38,165.5,2.88852
2024-11-04,15:00:00,27.81,82.06,300.96,4.19,15.08,9.37,94.0,1.640609
2024-11-04,18:00:00,26.01,78.82,299.16,2.5,9.0,5.59,125.7,2.193879
2024-11-04,21:00:00,21.04,69.87,294.19,4.55,16.38,10.18,103.7,1.809906
2024-11-05,00:00:00,25.56,78.01,298.71,3.08,11.09,6.89,100.1,1.747075
2024-11-05,03:00:00,22.56,72.61,295.71,4.2,15.12,9.4,81.3,1.418953
2024-11-05,06:00:00,27.69,81.84,300.84,5.7,20.52,12.75,125.6,2.192134
2024-11-05,09:00:00,26.57,79.83,299.72,3.92,14.11,8.77,98.1,1.712168
2024-11-05,12:00:00,28.17,82.71,301.32,2.18,7.85,4.88,96.3,1.680752
2024-11-05,15:00:00,27.4,81.32,300.55,3.1,11.16,6.93,109.1,1.904154
2024-11-05,18:00:00,25.03,77.05,298.18,3.04,10.94,6.8,143.3,2.501057
2024-11-05,21:00:00,18.61,65.5,291.76,5.12,18.43,11.45,92.9,1.621411
2024-11-06,00:00:00,21.72,71.1,294.87,1.25,4.5,2.8,75.1,1.310742
2024-11-06,03:00:00,27.43,81.37,300.58,4.07,14.65,9.1,99.4,1.734857
2024-11-06,06:00:00,23.56,74.41,296.71,4.48,16.13,10.02,100.0,1.745329
2024-11-06,09:00:00,23.17,73.71,296.32,4.13,14.87,9.24,115.9,2.022837
2024-11-06,12:00:00,23.36,74.05,296.51,3.89,14.0,8.7,150.8,2.631957
2024-11-06,15:00:00,26.58,79.84,299.73,3.53,12.71,7.9,128.2,2.237512
2024-11-06,18:00:00,27.78,82.0,300.93,1.06,3.82,2.37,145.5,2.539454
2024-11-06,21:00:00,24.73,76.51,297.88,1.07,3.85,2.39,111.2,1.940806
2024-11-07,00:00:00,21.11,70.0,294.26,3.26,11.74,7.29,97.7,1.705187
2024-11-07,03:00:00,22.19,71.94,295.34,4.36,15.7,9.75,76.2,1.329941
2024-11-07,06:00:00,23.07,73.53,296.22,3.5,12.6,7.83,140.7,2.455678
2024-11-07,09:00:00,25.13,77.23,298.28,3.49,12.56,7.81,122.8,2.143264
2024-11-07,12:00:00,24.7,76.46,297.85,2.3,8.28,5.14,114.3,1.994911
2024-11-07,15:00:00,21.16,70.09,294.31,4.63,16.67,10.36,119.8,2.090904
2024-11-07,18:00:00,27.35,81.23,300.5,2.99,10.76,6.69,89.9,1.569051
2024-11-07,21:00:00,21.79,71.22,294.94,4.33,15.59,9.69,104.3,1.820378
