data,hora,temperatura_celsius,velocidade_vento_ms,direcao_vento_graus
2025-04-01,00:00:00,21.26,2.42,158.7
2025-04-01,03:00:00,18.15,1.53,195.0
2025-04-01,06:00:00,19.62,5.69,170.4
2025-04-01,09:00:00,26.44,4.07,168.6
2025-04-01,12:00:00,22.61,1.98,149.2
2025-04-01,15:00:00,25.54,4.47,153.5
2025-04-01,18:00:00,17.29,1.77,189.6
2025-04-01,21:00:00,20.31,2.38,148.6
2025-04-02,00:00:00,18.45,4.1,151.9
2025-04-02,03:00:00,19.4,5.07,158.6
2025-04-02,06:00:00,26.48,3.61,135.7
2025-04-02,09:00:00,20.91,2.83,189.0
2025-04-02,12:00:00,25.54,5.04,148.1
2025-04-02,15:00:00,28.14,2.26,125.9
2025-04-02,18:00:00,28.06,3.0,156.1
2025-04-02,21:00:00,18.61,1.44,154.9
2025-04-03,00:00:00,12.26,2.91,160.2
2025-04-03,03:00:00,23.47,3.04,147.4
2025-04-03,06:00:00,26.34,4.84,147.0
2025-04-03,09:00:00,26.19,3.55,165.1
2025-04-03,12:00:00,21.14,4.75,165.3
2025-04-03,15:00:00,22.99,3.14,165.5
2025-04-03,18:00:00,25.14,2.99,155.1
2025-04-03,21:00:00,19.9,2.71,173.2
2025-04-04,00:00:00,16.39,4.55,165.9
2025-04-04,03:00:00,22.92,3.14,183.7
2025-04-04,06:00:00,26.5,3.58,166.1
2025-04-04,09:00:00,13.02,6.05,168.6
2025-04-04,12:00:00,27.99,4.74,136.4
2025-04-04,15:00:00,24.7,2.46,178.2
2025-04-04,18:00:00,24.0,4.9,113.5
2025-04-04,21:00:00,21.57,3.58,105.5
2025-04-05,00:00:00,23.81,2.89,200.7
2025-04-05,03:00:00,16.87,3.83,148.3
2025-04-05,06:00:00,24.75,2.59,135.1
2025-04-05,09:00:00,25.7,2.4,164.7
2025-04-05,12:00:00,24.11,3.09,180.8
2025-04-05,15:00:00,29.16,3.13,157.0
2025-04-05,18:00:00,20.27,2.66,157.6
2025-04-05,21:00:00,18.49,2.0,129.4
2025-04-06,00:00:00,21.54,1.87,111.2
2025-04-06,03:00:00,24.71,4.26,149.4
2025-04-06,06:00:00,20.4,4.33,128.1
2025-04-06,09:00:00,25.32,4.35,156.8
2025-04-06,12:00:00,23.62,3.15,170.3
2025-04-06,15:00:00,24.78,2.13,187.5
2025-04-06,18:00:00,25.17,3.72,166.7
2025-04-06,21:00:00,18.65,4.54,200.9
2025-04-07,00:00:00,19.06,4.75,133.2
2025-04-07,03:00:00,21.71,2.46,207.8
2025-04-07,06:00:00,27.43,3.74,185.8
2025-04-07,09:00:00,24.13,2.68,187.1
2025-04-07,12:00:00,26.79,2.41,126.3
2025-04-07,15:00:00,26.66,2.0,185.0
2025-04-07,18:00:00,19.71,3.49,157.0
2025-04-07,21:00:00,20.83,2.46,159.0
2025-04-08,00:00:00,20.09,2.53,153.9
2025-04-08,03:00:00,22.76,4.51,171.6
2025-04-08,06:00:00,23.03,1.73,145.3
2025-04-08,09:00:00,27.35,2.53,149.5
2025-04-08,12:00:00,29.52,4.4,173.5
2025-04-08,15:00:00,22.97,3.65,147.9
2025-04-08,18:00:00,18.89,2.14,165.2
2025-04-08,21:00:00,15.27,2.58,183.0
2025-04-09,00:00:00,20.77,3.09,159.0
2025-04-09,03:00:00,12.47,0.85,200.0
2025-04-09,06:00:00,20.27,2.89,164.4
2025-04-09,09:00:00,25.93,1.5,177.4
2025-04-09,12:00:00,28.77,4.06,163.1
2025-04-09,15:00:00,17.83,5.44,179.4
2025-04-09,18:00:00,29.42,2.44,153.0
2025-04-09,21:00:00,23.88,2.28,133.8
2025-04-10,00:00:00,16.99,5.21,162.4
2025-04-10,03:00:00,20.42,5.52,153.4
2025-04-10,06:00:00,19.22,4.84,154.4
2025-04-10,09:00:00,22.06,2.28,203.0
2025-04-10,12:00:00,29.81,4.59,197.0
2025-04-10,15:00:00,28.27,3.29,165.0
2025-04-10,18:00:00,29.85,4.34,187.0
2025-04-10,21:00:00,19.94,4.4,214.6
2025-04-11,00:00:00,27.04,3.51,177.0
2025-04-11,03:00:00,21.98,3.98,122.1
2025-04-11,06:00:00,23.97,2.6,166.4
2025-04-11,09:00:00,27.74,3.21,165.1
2025-04-11,12:00:00,20.12,5.88,202.9
2025-04-11,15:00:00,19.85,4.59,202.8
2025-04-11,18:00:00,26.0,2.62,164.7
2025-04-11,21:00:00,20.69,2.43,199.5
2025-04-12,00:00:00,17.4,4.12,138.5
2025-04-12,03:00:00,16.22,5.85,142.3
2025-04-12,06:00:00,25.94,4.41,126.1
2025-04-12,09:00:00,24.73,3.22,159.3
2025-04-12,12:00:00,26.2,1.44,134.3
2025-04-12,15:00:00,27.32,2.44,170.3
2025-04-12,18:00:00,22.46,3.35,197.1
2025-04-12,21:00:00,17.37,5.37,143.5
2025-04-13,00:00:00,22.09,2.72,203.8
2025-04-13,03:00:00,23.8,2.05,145.1
2025-04-13,06:00:00,24.54,3.91,125.6
2025-04-13,09:00:00,24.95,3.42,105.4
2025-04-13,12:00:00,26.12,1.92,125.3
2025-04-13,15:00:00,26.66,3.68,173.0
2025-04-13,18:00:00,21.19,3.6,130.7
2025-04-13,21:00:00,16.14,1.43,124.7
2025-04-14,00:00:00,17.88,3.95,158.4
2025-04-14,03:00:00,21.62,4.12,160.6
2025-04-14,06:00:00,22.35,0.76,202.5
2025-04-14,09:00:00,25.13,2.88,184.9
2025-04-14,12:00:00,24.8,2.49,181.2
2025-04-14,15:00:00,28.8,1.79,138.5
2025-04-14,18:00:00,21.81,3.18,171.5
2025-04-14,21:00:00,16.28,6.25,159.4
2025-04-15,00:00:00,24.02,4.59,202.7
2025-04-15,03:00:00,20.3,4.42,131.9
2025-04-15,06:00:00,20.73,2.15,131.5
2025-04-15,09:00:00,25.03,2.06,159.7
2025-04-15,12:00:00,22.97,3.92,156.0
2025-04-15,15:00:00,24.03,3.2,165.2
2025-04-15,18:00:00,25.71,5.4,138.6
2025-04-15,21:00:00,24.46,4.77,179.2
2025-04-16,00:00:00,20.25,3.39,114.4
2025-04-16,03:00:00,13.32,3.1,162.2
2025-04-16,06:00:00,19.91,4.7,129.7
2025-04-16,09:00:00,23.14,4.07,155.8
2025-04-16,12:00:00,28.18,1.56,174.2
2025-04-16,15:00:00,25.03,2.03,156.0
2025-04-16,18:00:00,21.86,3.6,170.0
2025-04-16,21:00:00,20.44,3.05,156.7
2025-04-17,00:00:00,17.61,4.64,154.0
2025-04-17,03:00:00,23.83,4.93,140.1
2025-04-17,06:00:00,24.44,5.61,161.1
2025-04-17,09:00:00,24.8,3.24,177.2
2025-04-17,12:00:00,24.3,3.86,171.9
2025-04-17,15:00:00,23.55,1.76,122.1
2025-04-17,18:00:00,20.03,4.69,144.8
2025-04-17,21:00:00,19.92,3.86,181.5
2025-04-18,00:00:00,22.18,2.74,191.4
2025-04-18,03:00:00,27.0,0.42,165.4
2025-04-18,06:00:00,23.96,2.98,171.5
2025-04-18,09:00:00,20.91,2.84,154.6
2025-04-18,12:00:00,22.63,3.31,127.8
2025-04-18,15:00:00,26.26,5.43,152.0
2025-04-18,18:00:00,25.29,2.86,212.2
2025-04-18,21:00:00,22.53,2.55,177.1
2025-04-19,00:00:00,15.79,2.87,130.1
2025-04-19,03:00:00,14.67,2.61,177.9
2025-04-19,06:00:00,23.44,5.09,126.5
2025-04-19,09:00:00,26.18,3.22,145.9
2025-04-19,12:00:00,24.14,2.72,140.4
2025-04-19,15:00:00,22.45,5.0,176.6
2025-04-19,18:00:00,25.79,3.71,201.7
2025-04-19,21:00:00,20.95,2.42,182.4
2025-04-20,00:00:00,23.53,4.37,153.7
2025-04-20,03:00:00,19.07,1.98,132.6
2025-04-20,06:00:00,25.44,2.5,162.0
2025-04-20,09:00:00,23.7,2.73,139.6
2025-04-20,12:00:00,21.61,3.69,174.9
2025-04-20,15:00:00,30.44,2.65,190.6
2025-04-20,18:00:00,22.63,2.82,150.9
2025-04-20,21:00:00,22.04,5.2,146.3
2025-04-21,00:00:00,23.69,4.45,156.6
2025-04-21,03:00:00,17.63,4.14,161.2
2025-04-21,06:00:00,18.73,4.16,125.7
2025-04-21,09:00:00,19.32,1.34,152.0
2025-04-21,12:00:00,29.16,2.49,150.1
2025-04-21,15:00:00,22.53,3.36,193.1
2025-04-21,18:00:00,24.43,2.8,138.4
2025-04-21,21:00:00,22.79,3.45,197.8
2025-04-22,00:00:00,18.88,3.86,146.8
2025-04-22,03:00:00,26.03,3.37,171.3
2025-04-22,06:00:00,23.39,4.04,151.2
2025-04-22,09:00:00,25.46,3.77,161.2
