data,hora,temperatura_celsius,umidade_ar_%,direcao_vento_graus
2026-09-01,00:00:00,17.58,69.6,177.3
2026-09-01,03:00:00,23.86,72.3,198.6
2026-09-01,06:00:00,20.3,76.3,178.8
2026-09-01,09:00:00,26.38,73.1,156.3
2026-09-01,12:00:00,21.15,55.8,143.8
2026-09-01,15:00:00,18.35,50.7,166.5
2026-09-01,18:00:00,19.02,63.7,161.8
2026-09-01,21:00:00,18.26,72.4,144.5
2026-09-02,00:00:00,18.99,61.5,164.9
2026-09-02,03:00:00,19.09,66.3,170.8
2026-09-02,06:00:00,18.76,68.5,131.6
2026-09-02,09:00:00,23.05,71.9,153.1
2026-09-02,12:00:00,20.26,66.2,162.9
2026-09-02,15:00:00,20.0,70.6,113.6
2026-09-02,18:00:00,16.46,65.8,169.5
2026-09-02,21:00:00,17.84,82.5,164.0
2026-09-03,00:00:00,14.23,75.5,166.6
2026-09-03,03:00:00,18.75,76.5,134.8
2026-09-03,06:00:00,20.1,68.0,148.4
2026-09-03,09:00:00,19.74,58.1,164.5
2026-09-03,12:00:00,26.14,70.0,170.1
2026-09-03,15:00:00,21.82,69.8,137.6
2026-09-03,18:00:00,19.7,73.2,162.3
2026-09-03,21:00:00,18.84,75.3,140.4
2026-09-04,00:00:00,13.36,72.3,155.6
2026-09-04,03:00:00,20.92,64.8,160.6
2026-09-04,06:00:00,22.92,77.9,161.0
2026-09-04,09:00:00,21.94,56.8,196.4
2026-09-04,12:00:00,19.7,46.0,170.2
2026-09-04,15:00:00,21.8,63.9,147.2
2026-09-04,18:00:00,19.86,75.0,139.4
2026-09-04,21:00:00,15.88,70.9,172.6
2026-09-05,00:00:00,17.98,73.4,172.7
2026-09-05,03:00:00,19.53,71.9,130.0
2026-09-05,06:00:00,15.48,70.0,191.3
2026-09-05,09:00:00,23.79,56.7,127.7
2026-09-05,12:00:00,17.15,54.7,168.6
2026-09-05,15:00:00,21.6,71.9,218.8
2026-09-05,18:00:00,20.2,71.9,157.6
2026-09-05,21:00:00,14.56,70.9,194.7
2026-09-06,00:00:00,19.06,71.6,204.4
2026-09-06,03:00:00,14.65,70.9,132.9
2026-09-06,06:00:00,23.95,72.0,171.8
2026-09-06,09:00:00,20.06,64.5,163.2
2026-09-06,12:00:00,22.1,59.9,195.2
2026-09-06,15:00:00,24.48,67.8,135.3
2026-09-06,18:00:00,17.2,63.2,192.9
2026-09-06,21:00:00,21.4,79.8,161.2
2026-09-07,00:00:00,19.89,82.7,139.9
2026-09-07,03:00:00,16.27,74.5,130.2
2026-09-07,06:00:00,23.17,66.9,176.4
2026-09-07,09:00:00,27.41,59.0,122.8
2026-09-07,12:00:00,17.3,56.5,152.6
2026-09-07,15:00:00,29.64,53.7,144.7
2026-09-07,18:00:00,19.59,62.6,163.1
2026-09-07,21:00:00,20.03,72.7,176.9
2026-09-08,00:00:00,13.59,68.9,171.1
2026-09-08,03:00:00,19.2,74.2,157.4
2026-09-08,06:00:00,16.19,73.2,133.2
2026-09-08,09:00:00,24.49,67.0,190.5
2026-09-08,12:00:00,13.73,59.5,167.7
2026-09-08,15:00:00,20.17,65.4,151.0
2026-09-08,18:00:00,21.5,66.6,143.6
2026-09-08,21:00:00,20.84,71.7,65.0
2026-09-09,00:00:00,17.03,76.0,196.7
2026-09-09,03:00:00,18.05,81.2,153.0
2026-09-09,06:00:00,21.84,65.2,166.2
2026-09-09,09:00:00,21.41,59.0,131.5
2026-09-09,12:00:00,25.76,52.1,152.5
2026-09-09,15:00:00,21.86,63.1,136.6
2026-09-09,18:00:00,18.46,70.2,178.5
2026-09-09,21:00:00,16.72,64.5,180.3
2026-09-10,00:00:00,19.83,69.9,155.7
2026-09-10,03:00:00,20.7,77.4,181.0
2026-09-10,06:00:00,20.02,68.5,202.0
2026-09-10,09:00:00,18.93,52.7,143.6
2026-09-10,12:00:00,21.66,52.4,163.3
2026-09-10,15:00:00,25.05,62.3,149.1
2026-09-10,18:00:00,23.08,62.4,160.4
2026-09-10,21:00:00,21.91,79.9,192.5
2026-09-11,00:00:00,17.89,69.9,171.9
2026-09-11,03:00:00,17.67,70.2,195.9
2026-09-11,06:00:00,14.0,70.2,148.8
2026-09-11,09:00:00,23.08,56.6,160.1
2026-09-11,12:00:00,22.77,57.4,148.4
2026-09-11,15:00:00,22.5,67.8,195.4
2026-09-11,18:00:00,25.03,62.8,163.5
2026-09-11,21:00:00,19.31,77.0,121.8
2026-09-12,00:00:00,18.22,74.1,150.1
2026-09-12,03:00:00,19.55,70.3,133.4
2026-09-12,06:00:00,18.75,70.0,200.0
2026-09-12,09:00:00,19.11,59.3,191.1
2026-09-12,12:00:00,24.47,53.7,118.4
2026-09-12,15:00:00,18.54,59.9,142.7
2026-09-12,18:00:00,19.84,73.0,170.7
2026-09-12,21:00:00,17.56,72.1,224.0
2026-09-13,00:00:00,17.89,73.5,136.9
2026-09-13,03:00:00,20.79,63.9,149.5
2026-09-13,06:00:00,20.17,67.1,175.3
2026-09-13,09:00:00,20.26,74.7,189.7
2026-09-13,12:00:00,23.56,55.5,139.6
2026-09-13,15:00:00,18.87,80.7,133.2
2026-09-13,18:00:00,19.41,74.0,124.4
2026-09-13,21:00:00,12.97,64.8,146.0
2026-09-14,00:00:00,16.47,70.6,130.2
2026-09-14,03:00:00,17.03,81.0,148.2
2026-09-14,06:00:00,24.31,59.1,148.6
2026-09-14,09:00:00,16.56,67.4,167.7
2026-09-14,12:00:00,21.93,67.9,200.9
2026-09-14,15:00:00,28.13,74.3,153.1
2026-09-14,18:00:00,19.44,59.0,112.8
2026-09-14,21:00:00,15.96,74.4,179.8
2026-09-15,00:00:00,19.1,80.7,176.0
2026-09-15,03:00:00,15.53,65.5,126.1
2026-09-15,06:00:00,17.41,63.6,166.7
