data,hora,temperatura_celsius,velocidade_vento_ms,direcao_vento_graus
2025-03-01,00:00:00,20.96,3.65,135.7
2025-03-01,03:00:00,24.51,3.27,97.3
2025-03-01,06:00:00,24.26,2.67,141.6
2025-03-01,09:00:00,26.69,2.76,134.9
2025-03-01,12:00:00,25.97,2.74,126.2
2025-03-01,15:00:00,29.05,3.2,176.9
2025-03-01,18:00:00,23.04,2.61,143.6
2025-03-01,21:00:00,24.03,5.53,113.0
2025-03-02,00:00:00,15.94,5.01,131.1
2025-03-02,03:00:00,20.48,4.92,105.3
2025-03-02,06:00:00,26.63,3.91,141.5
2025-03-02,09:00:00,29.42,4.93,133.4
2025-03-02,12:00:00,23.7,4.25,152.9
2025-03-02,15:00:00,23.41,3.88,88.8
2025-03-02,18:00:00,26.27,2.37,156.5
2025-03-02,21:00:00,18.97,1.4,99.2
2025-03-03,00:00:00,20.53,3.35,106.8
2025-03-03,03:00:00,21.84,2.66,138.4
2025-03-03,06:00:00,24.16,3.49,111.6
2025-03-03,09:00:00,22.83,2.5,94.6
2025-03-03,12:00:00,27.76,4.04,101.9
2025-03-03,15:00:00,25.73,4.95,156.9
2025-03-03,18:00:00,25.96,2.43,151.8
2025-03-03,21:00:00,23.86,1.57,161.2
2025-03-04,00:00:00,21.31,5.7,128.0
2025-03-04,03:00:00,30.54,1.88,142.9
2025-03-04,06:00:00,21.12,4.09,171.2
2025-03-04,09:00:00,21.3,3.94,140.2
2025-03-04,12:00:00,22.32,2.7,120.0
2025-03-04,15:00:00,30.26,3.65,167.3
2025-03-04,18:00:00,22.07,2.68,118.5
2025-03-04,21:00:00,20.37,4.1,158.9
2025-03-05,00:00:00,26.24,2.66,112.4
2025-03-05,03:00:00,18.13,5.14,106.7
2025-03-05,06:00:00,24.0,2.13,145.9
2025-03-05,09:00:00,29.3,3.96,119.4
2025-03-05,12:00:00,23.57,1.61,127.7
2025-03-05,15:00:00,24.28,1.27,147.6
2025-03-05,18:00:00,25.11,3.92,150.2
2025-03-05,21:00:00,26.24,2.77,168.4
2025-03-06,00:00:00,23.14,5.2,146.6
2025-03-06,03:00:00,25.27,7.12,152.0
2025-03-06,06:00:00,26.69,3.91,138.2
2025-03-06,09:00:00,23.92,2.36,173.8
2025-03-06,12:00:00,23.01,2.25,107.5
2025-03-06,15:00:00,31.87,4.86,139.0
2025-03-06,18:00:00,19.38,4.79,84.2
2025-03-06,21:00:00,24.3,1.34,129.6
2025-03-07,00:00:00,18.87,3.62,110.8
2025-03-07,03:00:00,20.2,2.8,170.1
2025-03-07,06:00:00,25.29,3.64,101.6
2025-03-07,09:00:00,27.34,2.73,90.3
2025-03-07,12:00:00,27.62,3.15,154.6
2025-03-07,15:00:00,27.95,3.41,117.9
2025-03-07,18:00:00,23.99,0.1,147.9
2025-03-07,21:00:00,23.88,4.25,101.9
2025-03-08,00:00:00,24.74,2.9,126.8
2025-03-08,03:00:00,18.43,4.69,138.2
2025-03-08,06:00:00,25.25,2.25,132.7
2025-03-08,09:00:00,27.28,2.68,86.9
2025-03-08,12:00:00,27.22,4.08,157.1
2025-03-08,15:00:00,28.98,3.15,120.1
2025-03-08,18:00:00,25.54,3.58,119.3
2025-03-08,21:00:00,18.54,3.59,163.9
2025-03-09,00:00:00,26.6,3.14,166.1
2025-03-09,03:00:00,20.82,0.58,78.0
2025-03-09,06:00:00,29.87,4.14,100.5
2025-03-09,09:00:00,25.75,3.92,93.9
2025-03-09,12:00:00,20.67,4.86,122.6
2025-03-09,15:00:00,32.25,2.68,153.1
2025-03-09,18:00:00,21.94,4.22,88.3
2025-03-09,21:00:00,24.83,3.67,131.7
2025-03-10,00:00:00,21.95,2.39,131.7
2025-03-10,03:00:00,26.71,4.07,160.0
2025-03-10,06:00:00,24.85,4.81,117.8
2025-03-10,09:00:00,25.32,2.24,111.3
2025-03-10,12:00:00,28.26,3.91,136.6
2025-03-10,15:00:00,26.89,2.09,100.4
2025-03-10,18:00:00,27.72,3.06,145.0
2025-03-10,21:00:00,22.38,2.25,117.6
2025-03-11,00:00:00,25.57,4.24,114.9
2025-03-11,03:00:00,18.67,2.3,144.4
2025-03-11,06:00:00,21.77,3.79,123.6
2025-03-11,09:00:00,21.21,1.04,158.1
2025-03-11,12:00:00,23.1,4.16,183.6
2025-03-11,15:00:00,29.63,2.96,135.5
2025-03-11,18:00:00,29.48,3.17,143.8
2025-03-11,21:00:00,24.29,2.75,132.7
2025-03-12,00:00:00,25.55,3.93,112.0
2025-03-12,03:00:00,27.99,4.08,135.6
2025-03-12,06:00:00,21.97,5.14,101.6
2025-03-12,09:00:00,26.55,3.59,134.3
2025-03-12,12:00:00,27.95,2.52,137.5
2025-03-12,15:00:00,21.15,3.15,156.2
2025-03-12,18:00:00,26.7,3.33,169.8
2025-03-12,21:00:00,28.04,5.41,74.2
2025-03-13,00:00:00,19.39,3.8,112.6
2025-03-13,03:00:00,22.08,3.03,140.8
2025-03-13,06:00:00,28.32,4.77,97.3
2025-03-13,09:00:00,25.42,1.83,122.3
2025-03-13,12:00:00,24.94,4.66,123.4
2025-03-13,15:00:00,26.71,4.02,131.0
2025-03-13,18:00:00,27.41,1.52,141.8
2025-03-13,21:00:00,24.52,4.05,128.2
2025-03-14,00:00:00,16.69,5.31,124.9
2025-03-14,03:00:00,21.17,2.87,120.8
2025-03-14,06:00:00,27.8,3.37,126.7
2025-03-14,09:00:00,28.7,3.84,114.5
2025-03-14,12:00:00,31.12,2.31,154.4
2025-03-14,15:00:00,30.31,3.55,158.5
2025-03-14,18:00:00,20.39,3.71,141.2
2025-03-14,21:00:00,22.77,3.23,115.9
2025-03-15,00:00:00,26.55,3.39,147.6
2025-03-15,03:00:00,18.13,4.51,131.1
2025-03-15,06:00:00,25.1,2.12,134.5
2025-03-15,09:00:00,23.32,3.19,159.1
2025-03-15,12:00:00,27.3,3.5,90.3
2025-03-15,15:00:00,30.63,1.2,115.4
2025-03-15,18:00:00,28.6,4.82,136.5
2025-03-15,21:00:00,22.48,3.87,142.7
2025-03-16,00:00:00,24.45,3.23,111.9
2025-03-16,03:00:00,26.32,5.46,121.3
2025-03-16,06:00:00,24.83,5.86,137.8
2025-03-16,09:00:00,25.19,0.43,170.3
2025-03-16,12:00:00,26.52,3.87,142.3
2025-03-16,15:00:00,27.41,2.42,94.3
2025-03-16,18:00:00,24.47,2.02,158.6
2025-03-16,21:00:00,19.77,4.42,107.8
2025-03-17,00:00:00,19.35,0.68,77.5
