data,hora,temperatura_celsius,temperatura_fahrenheit,temperatura_kelvin,velocidade_vento_ms,velocidade_vento_kmh,velocidade_vento_mph,direcao_vento_graus,direcao_vento_radianos
2026-02-01,00:00:00,26.2,79.16,299.35,3.3,11.88,7.38,103.2,1.80118
2026-02-01,03:00:00,22.48,72.46,295.63,3.71,13.36,8.3,136.4,2.380629
2026-02-01,06:00:00,22.65,72.77,295.8,4.38,15.77,9.8,133.6,2.33176
2026-02-01,09:00:00,24.55,76.19,297.7,4.13,14.87,9.24,127.7,2.228785
2026-02-01,12:00:00,27.43,81.37,300.58,3.38,12.17,7.56,132.5,2.312561
2026-02-01,15:00:00,28.5,83.3,301.65,5.24,18.86,11.72,124.8,2.178171
2026-02-01,18:00:00,20.04,68.07,293.19,2.87,10.33,6.42,153.2,2.673844
2026-02-01,21:00:00,22.73,72.91,295.88,4.19,15.08,9.37,114.2,1.993166
2026-02-02,00:00:00,21.3,70.34,294.45,1.62,5.83,3.62,103.7,1.809906
2026-02-02,03:00:00,26.37,79.47,299.52,3.54,12.74,7.92,119.3,2.082178
2026-02-02,06:00:00,25.44,77.79,298.59,2.88,10.37,6.44,125.4,2.188643
2026-02-02,09:00:00,29.08,84.34,302.23,3.03,10.91,6.78,188.5,3.289946
2026-02-02,12:00:00,22.76,72.97,295.91,4.48,16.13,10.02,142.3,2.483604
2026-02-02,15:00:00,28.67,83.61,301.82,4.84,17.42,10.83,132.1,2.30558
2026-02-02,18:00:00,28.53,83.35,301.68,3.19,11.48,7.14,127.1,2.218313
2026-02-02,21:00:00,21.89,71.4,295.04,4.33,15.59,9.69,136.5,2.382374
2026-02-03,00:00:00,26.94,80.49,300.09,3.1,11.16,6.93,169.0,2.949606
2026-02-03,03:00:00,21.47,70.65,294.62,3.55,12.78,7.94,146.3,2.553417
2026-02-03,06:00:00,24.12,75.42,297.27,3.2,11.52,7.16,99.1,1.729621
2026-02-03,09:00:00,27.42,81.36,300.57,3.55,12.78,7.94,196.6,3.431317
2026-02-03,12:00:00,33.74,92.73,306.89,4.5,16.2,10.07,193.5,3.377212
2026-02-03,15:00:00,28.91,84.04,302.06,3.07,11.05,6.87,137.6,2.401573
2026-02-03,18:00:00,22.19,71.94,295.34,2.38,8.57,5.32,107.4,1.874484
2026-02-03,21:00:00,25.46,77.83,298.61,3.16,11.38,7.07,112.6,1.965241
2026-02-04,00:00:00,21.14,70.05,294.29,5.17,18.61,11.56,84.4,1.473058
2026-02-04,03:00:00,24.99,76.98,298.14,1.93,6.95,4.32,143.4,2.502802
2026-02-04,06:00:00,23.32,73.98,296.47,3.37,12.13,7.54,109.0,1.902409
2026-02-04,09:00:00,29.76,85.57,302.91,1.91,6.88,4.27,136.7,2.385865
2026-02-04,12:00:00,25.82,78.48,298.97,2.1,7.56,4.7,131.9,2.302089
2026-02-04,15:00:00,32.69,90.84,305.84,4.49,16.16,10.04,117.9,2.057743
2026-02-04,18:00:00,27.9,82.22,301.05,2.88,10.37,6.44,128.8,2.247984
2026-02-04,21:00:00,24.53,76.15,297.68,2.95,10.62,6.6,94.8,1.654572
2026-02-05,00:00:00,21.21,70.18,294.36,2.63,9.47,5.88,131.7,2.298599
2026-02-05,03:00:00,23.66,74.59,296.81,2.42,8.71,5.41,105.3,1.837832
2026-02-05,06:00:00,30.15,86.27,303.3,3.02,10.87,6.76,64.0,1.117011
2026-02-05,09:00:00,24.79,76.62,297.94,6.17,22.21,13.8,135.0,2.356194
2026-02-05,12:00:00,24.67,76.41,297.82,3.5,12.6,7.83,112.6,1.965241
2026-02-05,15:00:00,25.33,77.59,298.48,1.33,4.79,2.98,129.0,2.251475
2026-02-05,18:00:00,23.05,73.49,296.2,1.33,4.79,2.98,114.1,1.991421
2026-02-05,21:00:00,23.61,74.5,296.76,1.78,6.41,3.98,133.3,2.326524
2026-02-06,00:00:00,21.3,70.34,294.45,5.02,18.07,11.23,118.8,2.073451
2026-02-06,03:00:00,21.19,70.14,294.34,5.33,19.19,11.92,130.1,2.270673
2026-02-06,06:00:00,22.71,72.88,295.86,6.67,24.01,14.92,168.9,2.947861
2026-02-06,09:00:00,27.41,81.34,300.56,1.64,5.9,3.67,103.3,1.802925
2026-02-06,12:00:00,30.96,87.73,304.11,1.73,6.23,3.87,124.6,2.17468
2026-02-06,15:00:00,23.01,73.42,296.16,3.42,12.31,7.65,89.6,1.563815
2026-02-06,18:00:00,22.61,72.7,295.76,3.73,13.43,8.34,142.0,2.478368
2026-02-06,21:00:00,25.99,78.78,299.14,1.26,4.54,2.82,122.7,2.141519
2026-02-07,00:00:00,23.18,73.72,296.33,5.9,21.24,13.2,134.4,2.345723
2026-02-07,03:00:00,20.97,69.75,294.12,2.18,7.85,4.88,68.8,1.200787
2026-02-07,06:00:00,28.83,83.89,301.98,2.37,8.53,5.3,117.3,2.047271
2026-02-07,09:00:00,29.42,84.96,302.57,2.91,10.48,6.51,142.7,2.490585
2026-02-07,12:00:00,22.72,72.9,295.87,4.2,15.12,9.4,128.0,2.234021
2026-02-07,15:00:00,24.8,76.64,297.95,2.81,10.12,6.29,102.2,1.783726
