data,hora,temperatura_celsius,umidade_ar_%,direcao_vento_graus
2025-05-01,00:00:00,16.36,79.7,170.5
2025-05-01,03:00:00,19.52,81.5,244.8
2025-05-01,06:00:00,17.96,91.2,193.6
2025-05-01,09:00:00,18.4,84.1,212.3
2025-05-01,12:00:00,19.23,67.4,201.9
2025-05-01,15:00:00,25.34,69.6,156.7
2025-05-01,18:00:00,15.89,82.4,155.0
2025-05-01,21:00:00,17.24,82.2,202.2
2025-05-02,00:00:00,21.52,94.9,155.9
2025-05-02,03:00:00,15.13,76.4,176.7
2025-05-02,06:00:00,20.44,81.9,207.0
2025-05-02,09:00:00,18.15,70.8,168.3
2025-05-02,12:00:00,19.86,78.4,190.6
2025-05-02,15:00:00,22.59,75.2,172.2
2025-05-02,18:00:00,20.11,81.6,199.1
2025-05-02,21:00:00,19.02,83.8,208.9
2025-05-03,00:00:00,18.37,87.3,200.2
2025-05-03,03:00:00,13.5,77.0,186.2
2025-05-03,06:00:00,18.69,71.4,177.8
2025-05-03,09:00:00,16.0,72.0,173.9
2025-05-03,12:00:00,24.65,67.3,179.2
2025-05-03,15:00:00,20.59,80.6,170.6
2025-05-03,18:00:00,20.81,70.7,232.7
2025-05-03,21:00:00,15.76,82.5,166.3
2025-05-04,00:00:00,16.31,86.5,173.7
2025-05-04,03:00:00,17.7,70.3,204.4
2025-05-04,06:00:00,23.04,88.5,171.5
2025-05-04,09:00:00,20.94,73.7,205.2
2025-05-04,12:00:00,19.74,71.5,229.1
2025-05-04,15:00:00,20.09,67.6,139.0
2025-05-04,18:00:00,19.84,83.2,168.6
2025-05-04,21:00:00,16.5,76.3,162.7
2025-05-05,00:00:00,17.83,84.6,178.9
2025-05-05,03:00:00,17.24,89.8,178.4
2025-05-05,06:00:00,19.47,81.4,184.8
2025-05-05,09:00:00,23.0,81.2,232.1
2025-05-05,12:00:00,22.16,81.7,180.3
2025-05-05,15:00:00,22.54,86.5,171.7
2025-05-05,18:00:00,15.73,79.6,151.8
2025-05-05,21:00:00,18.21,80.4,199.1
2025-05-06,00:00:00,18.69,83.5,179.9
2025-05-06,03:00:00,12.48,72.7,180.5
2025-05-06,06:00:00,22.24,78.0,188.0
2025-05-06,09:00:00,19.89,75.9,181.3
2025-05-06,12:00:00,23.74,69.8,202.4
2025-05-06,15:00:00,15.95,79.7,167.6
2025-05-06,18:00:00,20.88,63.8,167.1
2025-05-06,21:00:00,17.81,87.0,169.4
2025-05-07,00:00:00,16.14,87.7,181.6
2025-05-07,03:00:00,14.21,89.0,219.3
2025-05-07,06:00:00,19.16,81.7,183.5
2025-05-07,09:00:00,18.05,68.2,181.6
2025-05-07,12:00:00,22.66,80.4,162.5
2025-05-07,15:00:00,21.88,78.2,191.3
2025-05-07,18:00:00,19.85,76.1,191.7
2025-05-07,21:00:00,14.07,84.5,174.9
2025-05-08,00:00:00,18.5,80.6,205.3
2025-05-08,03:00:00,20.57,84.5,177.5
2025-05-08,06:00:00,22.53,79.2,194.7
2025-05-08,09:00:00,19.01,66.7,187.3
2025-05-08,12:00:00,16.13,80.1,193.4
2025-05-08,15:00:00,21.99,82.4,194.8
2025-05-08,18:00:00,21.05,89.2,144.8
2025-05-08,21:00:00,15.66,85.7,155.2
2025-05-09,00:00:00,13.67,91.3,151.3
2025-05-09,03:00:00,17.25,86.7,148.4
2025-05-09,06:00:00,21.1,70.5,152.1
2025-05-09,09:00:00,25.31,68.9,229.0
2025-05-09,12:00:00,22.19,75.4,145.4
2025-05-09,15:00:00,17.68,66.3,264.2
2025-05-09,18:00:00,21.56,79.9,151.8
2025-05-09,21:00:00,17.24,84.4,203.4
2025-05-10,00:00:00,12.64,74.2,175.2
2025-05-10,03:00:00,21.95,86.2,180.4
2025-05-10,06:00:00,17.97,68.4,173.1
2025-05-10,09:00:00,18.13,65.1,158.4
2025-05-10,12:00:00,25.07,65.7,192.4
2025-05-10,15:00:00,19.82,66.2,144.9
2025-05-10,18:00:00,14.91,74.7,185.8
2025-05-10,21:00:00,21.38,83.3,200.4
2025-05-11,00:00:00,16.29,93.6,143.0
2025-05-11,03:00:00,20.91,88.5,138.6
2025-05-11,06:00:00,21.0,74.7,176.6
2025-05-11,09:00:00,20.5,63.6,187.2
2025-05-11,12:00:00,21.67,68.5,194.6
2025-05-11,15:00:00,19.51,78.1,164.8
2025-05-11,18:00:00,14.83,74.4,168.2
2025-05-11,21:00:00,16.91,83.9,189.6
2025-05-12,00:00:00,13.95,82.4,181.7
2025-05-12,03:00:00,19.96,87.3,199.4
2025-05-12,06:00:00,20.49,76.2,156.6
2025-05-12,09:00:00,17.86,67.1,167.7
2025-05-12,12:00:00,21.85,66.9,145.6
2025-05-12,15:00:00,19.95,74.6,133.3
2025-05-12,18:00:00,21.69,63.4,208.6
2025-05-12,21:00:00,15.66,81.6,226.1
2025-05-13,00:00:00,15.86,89.0,178.2
2025-05-13,03:00:00,14.89,76.0,220.6
2025-05-13,06:00:00,17.55,72.8,186.0
2025-05-13,09:00:00,15.3,73.6,179.6
2025-05-13,12:00:00,24.57,65.5,164.0
2025-05-13,15:00:00,18.83,72.8,184.4
2025-05-13,18:00:00,16.19,75.0,177.8
2025-05-13,21:00:00,16.71,75.9,169.8
2025-05-14,00:00:00,10.25,90.8,165.8
2025-05-14,03:00:00,16.76,78.2,203.1
2025-05-14,06:00:00,15.11,73.4,201.4
2025-05-14,09:00:00,18.46,67.9,163.2
2025-05-14,12:00:00,18.03,76.4,173.8
2025-05-14,15:00:00,21.79,73.6,178.5
2025-05-14,18:00:00,20.61,73.6,156.2
2025-05-14,21:00:00,14.45,75.3,177.0
2025-05-15,00:00:00,14.23,77.7,252.5
2025-05-15,03:00:00,19.98,82.9,157.2
2025-05-15,06:00:00,17.44,74.0,209.4
2025-05-15,09:00:00,21.02,76.6,180.2
2025-05-15,12:00:00,23.7,59.7,174.9
2025-05-15,15:00:00,19.92,83.2,193.6
2025-05-15,18:00:00,23.68,84.4,149.4
2025-05-15,21:00:00,19.14,80.4,155.0
2025-05-16,00:00:00,16.46,85.4,184.2
2025-05-16,03:00:00,12.48,85.7,209.9
