data,hora,temperatura_celsius,umidade_ar_%,direcao_vento_graus
2026-04-01,00:00:00,21.26,72.9,186.4
2026-04-01,03:00:00,18.04,88.4,206.9
2026-04-01,06:00:00,20.86,66.7,175.2
2026-04-01,09:00:00,27.93,64.9,176.5
2026-04-01,12:00:00,25.46,71.4,157.6
2026-04-01,15:00:00,24.79,69.2,191.9
2026-04-01,18:00:00,27.83,86.6,154.5
2026-04-01,21:00:00,24.19,71.6,172.9
2026-04-02,00:00:00,19.25,82.2,100.6
2026-04-02,03:00:00,25.47,67.7,159.4
2026-04-02,06:00:00,20.18,78.3,166.8
2026-04-02,09:00:00,28.84,67.8,186.8
2026-04-02,12:00:00,24.62,74.5,158.0
2026-04-02,15:00:00,28.02,71.4,176.9
2026-04-02,18:00:00,22.49,74.1,185.8
2026-04-02,21:00:00,16.28,73.2,182.0
2026-04-03,00:00:00,20.97,76.9,172.2
2026-04-03,03:00:00,21.24,76.9,145.7
2026-04-03,06:00:00,22.23,79.7,163.0
2026-04-03,09:00:00,23.96,71.0,170.4
2026-04-03,12:00:00,21.63,69.2,176.6
2026-04-03,15:00:00,23.4,87.2,174.5
2026-04-03,18:00:00,19.23,73.1,174.7
2026-04-03,21:00:00,23.47,80.5,174.4
2026-04-04,00:00:00,19.29,88.9,167.6
2026-04-04,03:00:00,22.31,82.3,196.6
2026-04-04,06:00:00,22.2,82.9,194.5
2026-04-04,09:00:00,27.48,58.2,207.5
2026-04-04,12:00:00,21.72,65.5,165.5
2026-04-04,15:00:00,23.5,69.5,184.9
2026-04-04,18:00:00,21.62,72.1,159.2
2026-04-04,21:00:00,21.04,83.6,150.4
2026-04-05,00:00:00,21.4,83.5,151.0
2026-04-05,03:00:00,22.71,80.0,133.8
2026-04-05,06:00:00,19.57,72.2,157.7
2026-04-05,09:00:00,27.29,65.4,117.2
2026-04-05,12:00:00,21.7,63.8,191.7
2026-04-05,15:00:00,24.1,86.0,203.8
2026-04-05,18:00:00,23.89,73.4,167.3
2026-04-05,21:00:00,23.58,84.4,199.3
2026-04-06,00:00:00,23.96,75.8,185.8
2026-04-06,03:00:00,19.83,77.3,162.6
2026-04-06,06:00:00,24.63,77.2,193.6
2026-04-06,09:00:00,24.8,68.6,181.7
2026-04-06,12:00:00,26.85,66.3,191.8
2026-04-06,15:00:00,24.23,79.5,194.6
2026-04-06,18:00:00,21.01,75.1,144.8
2026-04-06,21:00:00,20.04,73.5,201.3
2026-04-07,00:00:00,18.53,81.6,131.3
2026-04-07,03:00:00,22.27,71.2,176.6
2026-04-07,06:00:00,18.68,86.5,151.2
2026-04-07,09:00:00,21.85,85.6,178.9
2026-04-07,12:00:00,23.48,76.8,191.8
2026-04-07,15:00:00,22.93,71.2,169.2
2026-04-07,18:00:00,19.25,74.1,173.7
2026-04-07,21:00:00,13.45,80.4,209.0
2026-04-08,00:00:00,19.98,72.9,188.4
2026-04-08,03:00:00,18.62,73.7,192.2
2026-04-08,06:00:00,20.62,82.4,138.3
2026-04-08,09:00:00,24.86,60.5,162.0
2026-04-08,12:00:00,25.54,67.7,156.4
2026-04-08,15:00:00,26.03,70.1,145.1
2026-04-08,18:00:00,24.62,84.3,158.1
2026-04-08,21:00:00,22.35,78.1,159.8
2026-04-09,00:00:00,22.43,75.7,144.6
2026-04-09,03:00:00,24.21,82.3,136.1
2026-04-09,06:00:00,23.17,81.3,175.3
2026-04-09,09:00:00,25.25,88.0,168.4
2026-04-09,12:00:00,29.87,70.3,194.3
2026-04-09,15:00:00,23.7,61.7,151.4
2026-04-09,18:00:00,19.3,84.7,174.7
2026-04-09,21:00:00,18.87,71.1,192.9
2026-04-10,00:00:00,24.36,79.7,165.0
2026-04-10,03:00:00,19.16,77.7,165.6
2026-04-10,06:00:00,25.16,68.6,164.8
2026-04-10,09:00:00,25.97,70.3,201.1
2026-04-10,12:00:00,23.59,71.4,174.3
2026-04-10,15:00:00,25.32,74.0,170.0
2026-04-10,18:00:00,25.32,82.5,210.6
2026-04-10,21:00:00,22.0,85.6,134.9
2026-04-11,00:00:00,17.82,89.6,139.2
2026-04-11,03:00:00,20.71,80.5,190.0
2026-04-11,06:00:00,23.26,66.1,209.9
2026-04-11,09:00:00,19.93,67.8,134.7
2026-04-11,12:00:00,25.29,65.3,162.4
2026-04-11,15:00:00,25.01,78.0,187.6
2026-04-11,18:00:00,19.13,79.8,198.1
2026-04-11,21:00:00,20.81,62.4,227.2
2026-04-12,00:00:00,18.08,82.3,158.1
2026-04-12,03:00:00,17.79,73.4,206.4
2026-04-12,06:00:00,19.61,80.9,170.0
2026-04-12,09:00:00,19.68,65.7,135.0
2026-04-12,12:00:00,25.06,62.5,164.7
2026-04-12,15:00:00,26.86,76.4,170.1
2026-04-12,18:00:00,22.99,73.4,165.7
2026-04-12,21:00:00,17.19,88.1,183.9
